id,date,company,department,so,contract_number,currency
338,2022-10-13,Societe Generale,Advertising,23,CH5491154427487547258,-35117.76€
339,2023-05-08,Societe Generale,Tech Support,43,PL04558747359745919625086773,52274.00€
340,2023-07-30,Societe Generale,Legal Department,31,FI9552107737751365,-61785.78€
341,2023-11-04,Societe Generale,Asset Management,31,FO8704666245972709,-47892.48€
342,2023-09-23,Societe Generale,Research and Development,47,SI53169333387642141,-75718.58€
343,2022-11-02,Societe Generale,Legal Department,23,IS876880804320478628618620,37556.74€
344,2023-09-17,Societe Generale,Media Relations,43,CR8541249936842353615,80707.46€
345,2023-12-10,Societe Generale,Tech Support,17,GL8269228433268161,-5910.85€
346,2023-12-24,Societe Generale,Human Resources,47,SA2676129537748355484481,-40539.65€
347,2023-02-12,Societe Generale,Sales and Marketing,19,BH24714877933177742370,45970.93€
348,2023-06-13,Societe Generale,Tech Support,37,CR5414176997832044118,-191.06€
349,2023-10-30,Societe Generale,Customer Service,17,GL6923197272649158,42957.82€
350,2023-02-03,Societe Generale,Media Relations,31,HU82329814756755666264074128,-35727.08€
351,2023-06-10,Societe Generale,Human Resources,11,SK4346328376663317327326,-70740.04€
352,2023-08-02,Societe Generale,Payroll,17,IL411041328916414524431,-28027.17€
353,2023-03-28,Societe Generale,Advertising,31,ES9376758875822795841682,93101.92€
354,2023-11-02,Societe Generale,Payroll,13,SE9015115523622015718676,-51848.90€
355,2022-11-14,Societe Generale,Human Resources,19,IE56HSUG95382521561887,17301.40€
356,2022-10-13,Societe Generale,Customer Relations,13,IL317328152231517266058,91410.00€
357,2023-03-14,Societe Generale,Asset Management,31,LB50882124799345162185171634,97216.00€
358,2023-03-15,Societe Generale,Advertising,13,RS64645677633461324876,-92147.73€
359,2023-10-11,Societe Generale,Advertising,13,GI31ESSL883383875454518,57090.79€
360,2023-08-01,Societe Generale,Customer Service,37,ME79059544335502812477,-80653.60€
361,2023-03-30,Societe Generale,Asset Management,23,LV51BJTI4425883309330,-313.84€
362,2023-05-27,Societe Generale,Asset Management,19,MC7721236368411622271884336,-21617.36€
363,2022-11-01,Societe Generale,Quality Assurance,29,BH14454310477005742220,47558.13€
364,2023-10-05,Societe Generale,Advertising,37,PL28386313236480516802449052,71239.09€
365,2022-11-15,Societe Generale,Research and Development,47,CR0834780910076442385,40194.60€
366,2023-12-29,Societe Generale,Finances,41,IL351689142783573125153,-45827.27€
367,2023-06-23,Societe Generale,Tech Support,17,RS95421819112523618915,64839.22€
368,2023-12-27,Societe Generale,Advertising,47,FO2275587392553886,93158.28€
369,2022-12-29,Societe Generale,Sales and Marketing,13,AD2679028156503319813775,53638.55€
370,2023-07-30,Societe Generale,Customer Service,31,HU84914717118793332218788370,-25780.50€
371,2023-12-25,Societe Generale,Customer Service,29,IS426159987945102375386309,54115.92€
372,2023-03-11,Societe Generale,Customer Service,11,HR5867223476473238665,37514.38€
373,2023-01-04,Societe Generale,Media Relations,23,HU64096160224792776561533754,-67648.24€
374,2023-04-30,Societe Generale,Tech Support,37,NO4260423482463,-66290.96€
375,2022-10-02,Societe Generale,Media Relations,47,NO2912403612521,91918.97€
376,2023-02-28,Societe Generale,Tech Support,29,MU8218643630635620520828754910,-61519.82€
377,2022-12-18,Societe Generale,Legal Department,29,LI1527675139182840162,14019.74€
378,2023-06-02,Societe Generale,Payroll,43,GL4140958064959421,45798.59€
379,2023-10-11,Societe Generale,Customer Relations,43,LB50733717770853754315012569,-56647.66€
380,2024-01-14,Societe Generale,Accounting,13,BH87547266524439723568,56405.43€
381,2023-09-03,Societe Generale,Legal Department,41,TR154852114835081867268116,79682.81€
382,2023-01-18,Societe Generale,Tech Support,19,TR596332414021293028255267,91513.44€
383,2022-10-30,Societe Generale,Human Resources,17,PK7377512488472639551612,7399.60€
384,2022-10-17,Societe Generale,Tech Support,43,AD1313261767017182127637,-59745.35€
385,2023-05-29,Societe Generale,Customer Service,43,DO37604884428058784103757731,-98909.60€
386,2023-06-07,Societe Generale,Public Relations,13,CR1113766688213644832,-35971.66€
387,2023-07-08,Societe Generale,Finances,19,MT19TGHO85540287851646454021392,-93951.60€
388,2023-02-16,Societe Generale,Accounting,41,EE076968572829984522,67341.96€
389,2023-04-23,Societe Generale,Finances,31,MC2021794363880092261511926,47568.74€
390,2023-10-05,Societe Generale,Finances,23,SK1088371097887964652552,-36708.35€
391,2024-01-06,Societe Generale,Asset Management,13,DK8283646771837818,71393.47€
392,2023-05-06,Societe Generale,Legal Department,47,IS344327254597493466271116,-21644.15€
393,2023-02-16,Societe Generale,Legal Department,19,DK4685623591721206,-78973.85€
394,2023-07-31,Societe Generale,Public Relations,37,NO2814276743164,-28807.59€
395,2023-09-30,Societe Generale,Finances,31,LI1092168322682878651,-34774.04€
396,2022-12-02,Societe Generale,Quality Assurance,31,LU189994692847881750,-68627.64€
397,2023-05-04,Societe Generale,Public Relations,17,KZ716854404124749811,-12741.71€
398,2024-01-02,Societe Generale,Finances,29,IE92PPFK65722887188327,-12027.35€
399,2022-10-09,Societe Generale,Public Relations,11,FR9079647913816638126368537,-50331.73€
400,2023-09-16,Societe Generale,Legal Department,11,GB68NUBN44776967558860,97141.12€
401,2022-11-06,Societe Generale,Payroll,41,DE83383044845194421342,-8719.43€
402,2023-07-17,Societe Generale,Finances,19,MC6883496590628963818788877,37597.26€
403,2024-01-04,Societe Generale,Customer Service,31,KZ128467579861615177,29156.36€
404,2022-12-28,Societe Generale,Research and Development,13,SA1687688325783105041776,-82811.93€
405,2023-08-09,Societe Generale,Sales and Marketing,37,PT29411011315041075455132,59455.98€
406,2023-09-05,Societe Generale,Public Relations,17,FI3794982248634531,34649.48€
407,2023-04-02,Societe Generale,Asset Management,23,KW4452321754421552192543662871,-68106.84€
408,2022-10-15,Societe Generale,Human Resources,13,MU7464827971056457724983671614,-99890.77€
409,2022-10-02,Societe Generale,Finances,37,AZ24350726143993084765133358,37350.26€
410,2022-11-16,Societe Generale,Public Relations,29,SM3611975129084174019118505,-84100.90€
411,2023-01-10,Societe Generale,Tech Support,31,HU11470301754259554223949844,25670.32€
412,2023-04-18,Societe Generale,Finances,19,EE246247085141167268,62131.37€
413,2023-09-09,Societe Generale,Advertising,19,AL45703619671443878247579452,-95855.61€
414,2022-12-11,Societe Generale,Public Relations,29,IS220254679147758022213285,-58185.60€
415,2024-01-31,Societe Generale,Advertising,47,MU3834817276262952258999727775,18292.28€
416,2023-03-29,Societe Generale,Sales and Marketing,43,SE3840126855366421171809,-47569.68€
417,2023-12-24,Societe Generale,Tech Support,11,DE64670840289256673610,26925.79€
418,2023-06-02,Societe Generale,Accounting,43,IE79PMMT22556580183436,98471.53€
419,2022-10-12,Societe Generale,Quality Assurance,29,AT693576746999521635,73154.22€
420,2023-11-21,Societe Generale,Public Relations,13,PL21872265620739687082816647,-11293.33€
421,2023-09-07,Societe Generale,Public Relations,17,EE787847014643533578,-57512.56€
422,2023-06-22,Societe Generale,Customer Relations,13,IS711345261366126623102817,32392.79€
423,2024-01-13,Societe Generale,Tech Support,23,DK9125867070947223,81414.07€
424,2023-09-27,Societe Generale,Finances,47,GE32854424128521431175,28915.59€
425,2022-11-23,Societe Generale,Asset Management,13,SE3617818714334731762932,-94563.21€
426,2023-05-05,Societe Generale,Advertising,41,CY45076256657636696827153768,14926.80€
427,2023-02-15,Societe Generale,Customer Service,47,AL26644631636241931625162362,48746.76€
428,2022-11-09,Societe Generale,Payroll,11,FI8677786344117487,10615.44€
429,2023-08-28,Societe Generale,Finances,23,AE791708829544664653182,-15225.50€
430,2023-10-19,Societe Generale,Finances,29,IS412741057196298567756332,71816.16€
431,2023-09-19,Societe Generale,Public Relations,19,GR2532587352418126174796857,-2869.30€
432,2023-07-11,Societe Generale,Customer Relations,19,DO90476953786745363713735685,35179.97€
433,2023-04-30,Societe Generale,Customer Service,17,LU988792538119176401,-91172.87€
434,2023-10-01,Societe Generale,Customer Service,23,AD1552850465064646524720,89612.49€
435,2023-05-06,Societe Generale,Sales and Marketing,19,AD7332115125531629484355,-980.29€
436,2022-11-12,Societe Generale,Accounting,19,PK0275845789458262298754,84527.22€
437,2023-06-13,Societe Generale,Payroll,11,BH26828365731213522611,-30737.72€
438,2022-10-13,Societe Generale,Finances,29,LB59668782555624615254444544,77374.90€
439,2023-04-04,Societe Generale,Advertising,41,EE066832865544572167,-7982.16€
440,2023-10-14,Societe Generale,Customer Service,37,TR584763315571126055633492,-38525.30€
441,2023-10-15,Societe Generale,Public Relations,43,GB33LVDI65522634232012,35480.70€
442,2023-12-10,Societe Generale,Asset Management,41,BA703957645848824543,28952.13€
443,2023-04-01,Societe Generale,Media Relations,31,MT72BTJF04556436181132528969241,35694.33€
444,2022-12-05,Societe Generale,Sales and Marketing,23,DE08164759622636774625,-88864.61€
445,2023-02-21,Societe Generale,Research and Development,37,LU543723215768878159,-12748.27€
446,2023-06-25,Societe Generale,Human Resources,19,EE092537945728124522,94075.00€
447,2023-12-17,Societe Generale,Sales and Marketing,31,SK3243263434914161938377,15702.96€
448,2023-09-18,Societe Generale,Asset Management,41,HU33510133528566977435071737,37191.98€
449,2022-11-28,Societe Generale,Media Relations,13,FO9212937101884734,25661.29€
450,2023-03-14,Societe Generale,Sales and Marketing,13,SE4164848614953338710843,-17503.04€
451,2023-12-28,Societe Generale,Accounting,43,BH33127202852768156439,45259.10€
452,2023-10-05,Societe Generale,Media Relations,47,DE17871678605668582191,72681.02€
453,2023-08-29,Societe Generale,Accounting,13,KZ739978192588523071,85613.67€
454,2024-01-26,Societe Generale,Finances,11,MC8823276286608754226939816,57636.71€
455,2024-01-20,Societe Generale,Advertising,11,BG80KKRN32534717982473,83563.73€
456,2023-09-24,Societe Generale,Human Resources,13,GR8314880943533855629626548,68013.46€
457,2023-01-02,Societe Generale,Customer Relations,29,TR896694424378826484524721,-52076.11€
458,2023-09-15,Societe Generale,Accounting,23,AZ60624295427274135201832213,36759.62€
459,2023-09-21,Societe Generale,Asset Management,41,LB36966155211657709726105444,35627.51€
460,2023-06-17,Societe Generale,Media Relations,13,EE344244415713799876,50950.90€
461,2023-09-04,Societe Generale,Research and Development,29,HU82416172147102954657767396,-34714.65€
462,2023-03-13,Societe Generale,Tech Support,17,AT108903421885771577,48779.16€
463,2023-02-18,Societe Generale,Public Relations,41,CR3611757775986699372,35204.54€
464,2023-02-10,Societe Generale,Finances,31,PL85742846041714446873311683,42581.17€
465,2022-10-19,Societe Generale,Legal Department,41,HU79913305516927777218790483,51770.06€
466,2023-06-14,Societe Generale,Tech Support,29,MK35991029858975141,2858.35€
467,2023-05-31,Societe Generale,Payroll,37,LU351418938621416164,86191.46€
468,2023-04-29,Societe Generale,Public Relations,11,DE13444632156783512537,15638.64€
469,2023-02-25,Societe Generale,Research and Development,23,IE13TGPI76874238764634,46744.46€
470,2023-10-15,Societe Generale,Media Relations,11,SM7745449296252974310375133,-16828.17€
471,2023-10-01,Societe Generale,Research and Development,43,TR264754875167037896101520,-97782.00€
472,2023-08-20,Societe Generale,Research and Development,31,AT744512537150747274,-32553.81€
473,2023-03-20,Societe Generale,Customer Service,41,AT647666962821883398,17584.99€
474,2022-12-20,Societe Generale,Media Relations,37,BA340047174246944125,4856.66€
475,2023-02-04,Societe Generale,Accounting,47,RS02527012603037612245,4629.60€
476,2023-09-29,Societe Generale,Customer Service,23,SK8077252394763015372012,14169.23€
477,2023-03-11,Societe Generale,Human Resources,37,CR1018736439373633975,36615.27€
478,2023-07-02,Societe Generale,Legal Department,31,HU34447177065373119247855586,-60880.28€
479,2023-03-02,Societe Generale,Asset Management,41,IT208SUNNI48512422076482522,82473.22€
480,2023-09-22,Societe Generale,Payroll,19,GR4735526844536180184212386,-87518.72€
481,2023-07-15,Societe Generale,Public Relations,11,BH11035477245538718728,-98285.82€
482,2023-01-09,Societe Generale,Accounting,13,IL463955136667514266666,-24726.64€
483,2023-10-14,Societe Generale,Customer Relations,23,DK5270214715850261,-36964.13€
484,2023-07-11,Societe Generale,Research and Development,11,AZ81728750758485462159238835,85387.13€
485,2023-12-16,Societe Generale,Finances,23,CY10814386813862726526334537,-69430.77€
486,2023-02-24,Societe Generale,Tech Support,41,FI3264416613950478,-61223.13€
487,2023-11-16,Societe Generale,Research and Development,11,AE611362172628253356893,-3489.17€
488,2022-10-19,Societe Generale,Accounting,13,MR8054677350569425193329378,48878.00€
489,2023-07-16,Societe Generale,Advertising,41,IE66WKIK81569223447165,-62728.43€
490,2023-12-10,Societe Generale,Legal Department,23,FR1842567236316411485382375,87718.81€
491,2022-10-01,Societe Generale,Legal Department,19,SK0296715246082708143319,67181.49€
492,2023-05-12,Societe Generale,Sales and Marketing,19,AD5061260957630366332068,-96024.72€
493,2023-09-01,Societe Generale,Public Relations,31,NO7819541857838,-7014.81€
494,2022-10-18,Societe Generale,Advertising,19,BE83728856497530,18537.97€
495,2023-09-10,Societe Generale,Sales and Marketing,17,FO6597769520726959,-42208.42€
496,2023-09-24,Societe Generale,Legal Department,37,GE34991634007366518415,-68414.45€
497,2022-12-19,Societe Generale,Tech Support,11,AE806834384411012531666,-48255.82€
498,2022-10-27,Societe Generale,Sales and Marketing,17,IS961291417874450156272965,10086.18€
499,2023-02-05,Societe Generale,Legal Department,31,LV64YNOW6211553714109,10176.45€
500,2023-10-30,Societe Generale,Advertising,47,SE2446573683576309971278,-24841.73€
501,2022-10-02,Societe Generale,Customer Service,29,AD7649773146264212823605,-75387.41€
502,2023-12-14,Societe Generale,Asset Management,43,BE88735392836523,82988.78€
503,2023-03-31,Societe Generale,Media Relations,47,CY34148356334981821308213044,48665.84€
504,2023-01-25,Societe Generale,Sales and Marketing,31,HR3216318255697622846,-48624.42€
505,2023-04-05,Societe Generale,Customer Service,11,BA097513363461398412,60990.74€
506,2023-09-22,Societe Generale,Customer Relations,19,LT589121474108015176,-24870.73€
507,2024-01-21,Societe Generale,Asset Management,23,MR5763314170404944830956282,52333.58€
